"","lon","lat","date","t_avg","elevation","p_sum"
"1",15.3499,46.4499,"1975-07-01",5.39999987930059,1149.61108398438,40.1000005975366
"2",15.4499,46.4499,"1975-07-01",6.52999985404313,994.631958007812,40.7000006064773
"3",15.5499,46.4499,"1975-07-01",9.01999979838729,639.3125,29.0000004321337
"4",15.6499,46.4499,"1975-07-01",11.0299997534603,293.111114501953,24.9000003710389
"5",15.7499,46.4499,"1975-07-01",11.169999750331,245.52082824707,24.5000003650784
"6",15.3499,46.5499,"1975-07-01",9.18999979458749,661.854187011719,35.5000005289912
"7",15.4499,46.5499,"1975-07-01",9.49999978765845,608.479187011719,35.2000005245209
"8",15.5499,46.5499,"1975-07-01",9.89999977871776,534.673583984375,33.8000005036592
"9",15.6499,46.5499,"1975-07-01",11.1599997505546,296.020843505859,28.6000004261732
"10",15.7499,46.5499,"1975-07-01",11.0299997534603,283.243041992188,29.9000004455447
"11",15.3499,46.6499,"1975-07-01",10.049999775365,564.256958007812,26.3000003919005
"12",15.4499,46.6499,"1975-07-01",10.1899997722358,527.305541992188,28.400000423193
"13",15.5499,46.6499,"1975-07-01",10.5699997637421,444.784729003906,28.0000004172325
"14",15.6499,46.6499,"1975-07-01",11.1599997505546,318.319458007812,26.0000003874302
"15",15.7499,46.6499,"1975-07-01",11.1099997516721,305.5,28.1000004187226
"16",15.3499,46.7499,"1975-07-01",11.6699997391552,339.645843505859,19.1000002846122
"17",15.4499,46.7499,"1975-07-01",11.2799997478724,386.736114501953,20.8000003099442
"18",15.5499,46.7499,"1975-07-01",11.7199997380376,298.659729003906,20.3000003024936
"19",15.6499,46.7499,"1975-07-01",11.6799997389317,271.159729003906,21.4000003188848
"20",15.7499,46.7499,"1975-07-01",11.5099997427315,263.375,25.1000003740191
"21",15.3499,46.8499,"1975-07-01",12.059999730438,318.875,16.7000002488494
"22",15.4499,46.8499,"1975-07-01",11.9399997331202,323.868041992188,17.8000002652407
"23",15.5499,46.8499,"1975-07-01",11.8699997346848,293.569458007812,19.1000002846122
"24",15.6499,46.8499,"1975-07-01",11.499999742955,333.729156494141,21.7000003233552
"25",15.7499,46.8499,"1975-07-01",11.2499997485429,323.756958007812,25.1000003740191
